mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_bootstrap,param_criterion,param_max_depth,param_max_features,param_min_samples_split,param_n_estimators,params,split0_test_score,split1_test_score,split2_test_score,split3_test_score,split4_test_score,mean_test_score,std_test_score,rank_test_score
0.006725883483886719,0.0010802728675672086,0.002011871337890625,0.000282413327402286,True,entropy,10,1,2,1,"{'bootstrap': True, 'criterion': 'entropy', 'max_depth': 10, 'max_features': 1, 'min_samples_split': 2, 'n_estimators': 1}",0.8041666666666667,0.6958333333333333,0.7,0.8041666666666667,0.6958333333333333,0.74,0.052413950645054656,4111
0.050670194625854495,0.011951447169962591,0.004903078079223633,0.002070402879280832,True,entropy,10,1,2,10,"{'bootstrap': True, 'criterion': 'entropy', 'max_depth': 10, 'max_features': 1, 'min_samples_split': 2, 'n_estimators': 10}",0.9,0.8666666666666667,0.8833333333333333,0.85,0.8333333333333334,0.8666666666666666,0.02357022603955158,2036
0.20317296981811522,0.02182174247833455,0.00890493392944336,0.0013960774767668685,True,entropy,10,1,2,50,"{'bootstrap': True, 'criterion': 'entropy', 'max_depth': 10, 'max_features': 1, 'min_samples_split': 2, 'n_estimators': 50}",0.9125,0.8791666666666667,0.8875,0.8791666666666667,0.85,0.8816666666666665,0.019999999999999997,1614
0.33153595924377444,0.010393114075487398,0.013919401168823241,0.0007210915181858241,True,entropy,10,1,2,100,"{'bootstrap': True, 'criterion': 'entropy', 'max_depth': 10, 'max_features': 1, 'min_samples_split': 2, 'n_estimators': 100}",0.9125,0.8875,0.8875,0.875,0.8625,0.885,0.01658312395177698,1476
0.8115169525146484,0.018893812973140307,0.033684492111206055,0.0014975132484291403,True,entropy,10,1,2,250,"{'bootstrap': True, 'criterion': 'entropy', 'max_depth': 10, 'max_features': 1, 'min_samples_split': 2, 'n_estimators': 250}",0.9291666666666667,0.8791666666666667,0.8916666666666667,0.8875,0.8583333333333333,0.8891666666666668,0.023063920838496774,1284
1.582997989654541,0.019072379691326347,0.06799130439758301,0.005648584316663349,True,entropy,10,1,2,500,"{'bootstrap': True, 'criterion': 'entropy', 'max_depth': 10, 'max_features': 1, 'min_samples_split': 2, 'n_estimators': 500}",0.925,0.8791666666666667,0.8958333333333334,0.8791666666666667,0.8583333333333333,0.8875,0.022204854324123748,1349
2.3849268913269044,0.02646670117298407,0.10538907051086426,0.012670368836758839,True,entropy,10,1,2,750,"{'bootstrap': True, 'criterion': 'entropy', 'max_depth': 10, 'max_features': 1, 'min_samples_split': 2, 'n_estimators': 750}",0.925,0.8833333333333333,0.8875,0.8833333333333333,0.8583333333333333,0.8875,0.021408720964441914,1349
3.2398029804229735,0.09397295233114332,0.12441501617431641,0.0033697836047654767,True,entropy,10,1,2,1000,"{'bootstrap': True, 'criterion': 'entropy', 'max_depth': 10, 'max_features': 1, 'min_samples_split': 2, 'n_estimators': 1000}",0.925,0.875,0.8916666666666667,0.9,0.8666666666666667,0.8916666666666668,0.02041241452319316,1228
0.004961061477661133,0.00030814405174576815,0.006522321701049804,0.004284025971411538,True,entropy,10,1,10,1,"{'bootstrap': True, 'criterion': 'entropy', 'max_depth': 10, 'max_features': 1, 'min_samples_split': 10, 'n_estimators': 1}",0.7041666666666667,0.725,0.7375,0.6916666666666667,0.6625,0.7041666666666667,0.026220221204253803,4461
0.034775304794311526,0.004247268057362318,0.0026519298553466797,0.00020368042140578435,True,entropy,10,1,10,10,"{'bootstrap': True, 'criterion': 'entropy', 'max_depth': 10, 'max_features': 1, 'min_samples_split': 10, 'n_estimators': 10}",0.8958333333333334,0.8625,0.875,0.8666666666666667,0.8583333333333333,0.8716666666666667,0.013281147875424372,1860
0.15636210441589354,0.003433066412005763,0.007244634628295899,0.0001733852559110762,True,entropy,10,1,10,50,"{'bootstrap': True, 'criterion': 'entropy', 'max_depth': 10, 'max_features': 1, 'min_samples_split': 10, 'n_estimators': 50}",0.8958333333333334,0.85,0.8875,0.8666666666666667,0.8666666666666667,0.8733333333333334,0.01637240225365709,1812
0.3082164764404297,0.0048501117095698185,0.013994216918945312,0.0011701695201502646,True,entropy,10,1,10,100,"{'bootstrap': True, 'criterion': 'entropy', 'max_depth': 10, 'max_features': 1, 'min_samples_split': 10, 'n_estimators': 100}",0.9125,0.85,0.8875,0.8666666666666667,0.8625,0.8758333333333332,0.02195323312053247,1771
0.7667818069458008,0.011339767980000776,0.03338632583618164,0.0033871808379146422,True,entropy,10,1,10,250,"{'bootstrap': True, 'criterion': 'entropy', 'max_depth': 10, 'max_features': 1, 'min_samples_split': 10, 'n_estimators': 250}",0.925,0.8833333333333333,0.875,0.8666666666666667,0.8583333333333333,0.8816666666666666,0.023213980461973555,1592
1.5202049255371093,0.028489529331895518,0.07239861488342285,0.014106022376834218,True,entropy,10,1,10,500,"{'bootstrap': True, 'criterion': 'entropy', 'max_depth': 10, 'max_features': 1, 'min_samples_split': 10, 'n_estimators': 500}",0.9125,0.875,0.8833333333333333,0.8791666666666667,0.85,0.8799999999999999,0.01996524758451823,1652
2.2748648643493654,0.02235355670498258,0.09126167297363282,0.0009207001153355776,True,entropy,10,1,10,750,"{'bootstrap': True, 'criterion': 'entropy', 'max_depth': 10, 'max_features': 1, 'min_samples_split': 10, 'n_estimators': 750}",0.9083333333333333,0.8708333333333333,0.875,0.8666666666666667,0.8583333333333333,0.8758333333333332,0.01715938356831167,1771
