mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_bootstrap,param_criterion,param_max_depth,param_max_features,param_min_samples_split,param_n_estimators,params,split0_test_score,split1_test_score,split2_test_score,split3_test_score,split4_test_score,mean_test_score,std_test_score,rank_test_score
0.005761337280273437,0.0006889398047608514,0.0019181728363037109,0.00023410968949270233,True,entropy,3,1,2,1,"{'bootstrap': True, 'criterion': 'entropy', 'max_depth': 3, 'max_features': 1, 'min_samples_split': 2, 'n_estimators': 1}",0.7,0.725,0.6333333333333333,0.5791666666666667,0.625,0.6525,0.05294126724756194,284
0.03582043647766113,0.004025928895924171,0.0035326480865478516,0.0004005632792850567,True,entropy,3,1,2,10,"{'bootstrap': True, 'criterion': 'entropy', 'max_depth': 3, 'max_features': 1, 'min_samples_split': 2, 'n_estimators': 10}",0.6416666666666667,0.7458333333333333,0.7125,0.7,0.6583333333333333,0.6916666666666667,0.03754626775356269,208
0.2588346481323242,0.00945524913665108,0.012571239471435547,0.00035400531928832756,True,entropy,3,1,2,100,"{'bootstrap': True, 'criterion': 'entropy', 'max_depth': 3, 'max_features': 1, 'min_samples_split': 2, 'n_estimators': 100}",0.675,0.725,0.7,0.7375,0.6791666666666667,0.7033333333333333,0.0246362424984908,146
1.1869853019714356,0.0239372167327949,0.0686178207397461,0.019692873818515866,True,entropy,3,1,2,500,"{'bootstrap': True, 'criterion': 'entropy', 'max_depth': 3, 'max_features': 1, 'min_samples_split': 2, 'n_estimators': 500}",0.6708333333333333,0.7333333333333333,0.6916666666666667,0.6958333333333333,0.6958333333333333,0.6975,0.020172864061517005,165
2.8493114948272704,0.21480294714452733,0.15720958709716798,0.008188700979142646,True,entropy,3,1,2,1000,"{'bootstrap': True, 'criterion': 'entropy', 'max_depth': 3, 'max_features': 1, 'min_samples_split': 2, 'n_estimators': 1000}",0.6666666666666666,0.7333333333333333,0.6916666666666667,0.6833333333333333,0.6833333333333333,0.6916666666666668,0.022360679774997883,206
0.0038880348205566407,0.00012404463866161396,0.0013322830200195312,0.00013869487261556685,True,entropy,3,1,25,1,"{'bootstrap': True, 'criterion': 'entropy', 'max_depth': 3, 'max_features': 1, 'min_samples_split': 25, 'n_estimators': 1}",0.5833333333333334,0.5791666666666667,0.5875,0.6208333333333333,0.6416666666666667,0.6025,0.024523231615936936,317
0.03333821296691895,0.006830699773521387,0.0038707733154296877,0.00277122064826861,True,entropy,3,1,25,10,"{'bootstrap': True, 'criterion': 'entropy', 'max_depth': 3, 'max_features': 1, 'min_samples_split': 25, 'n_estimators': 10}",0.6583333333333333,0.7416666666666667,0.675,0.6333333333333333,0.6333333333333333,0.6683333333333333,0.03993049516903649,270
0.24135909080505372,0.012862880803009897,0.012092399597167968,0.00011516672682337346,True,entropy,3,1,25,100,"{'bootstrap': True, 'criterion': 'entropy', 'max_depth': 3, 'max_features': 1, 'min_samples_split': 25, 'n_estimators': 100}",0.6625,0.7416666666666667,0.6916666666666667,0.6625,0.6958333333333333,0.6908333333333333,0.029035418983640596,210
1.598683738708496,0.04963710883815892,0.0795177936553955,0.003338164184207398,True,entropy,3,1,25,500,"{'bootstrap': True, 'criterion': 'entropy', 'max_depth': 3, 'max_features': 1, 'min_samples_split': 25, 'n_estimators': 500}",0.6708333333333333,0.7125,0.6791666666666667,0.6916666666666667,0.6958333333333333,0.69,0.014337208778404392,215
3.308967924118042,0.1415901016787391,0.15819091796875,0.004929500850132929,True,entropy,3,1,25,1000,"{'bootstrap': True, 'criterion': 'entropy', 'max_depth': 3, 'max_features': 1, 'min_samples_split': 25, 'n_estimators': 1000}",0.6708333333333333,0.7416666666666667,0.6916666666666667,0.6708333333333333,0.6833333333333333,0.6916666666666668,0.026220221204253817,206
0.007570648193359375,0.0026002589851727978,0.0019449710845947266,0.0002010867808303878,True,entropy,3,1,50,1,"{'bootstrap': True, 'criterion': 'entropy', 'max_depth': 3, 'max_features': 1, 'min_samples_split': 50, 'n_estimators': 1}",0.6083333333333333,0.6208333333333333,0.65,0.5291666666666667,0.6875,0.6191666666666666,0.05261231372554866,310
0.04184832572937012,0.005209260694147078,0.003105020523071289,0.0001102317774375756,True,entropy,3,1,50,10,"{'bootstrap': True, 'criterion': 'entropy', 'max_depth': 3, 'max_features': 1, 'min_samples_split': 50, 'n_estimators': 10}",0.7541666666666667,0.6875,0.6458333333333334,0.7041666666666667,0.6875,0.6958333333333333,0.034960294939005036,179
0.3311174392700195,0.0072469370498312695,0.01724414825439453,0.001350336561489638,True,entropy,3,1,50,100,"{'bootstrap': True, 'criterion': 'entropy', 'max_depth': 3, 'max_features': 1, 'min_samples_split': 50, 'n_estimators': 100}",0.65,0.75,0.6666666666666666,0.7291666666666666,0.6708333333333333,0.6933333333333332,0.0389622324252032,200
1.7216800689697265,0.06709530006354676,0.08056445121765136,0.021436439635063788,True,entropy,3,1,50,500,"{'bootstrap': True, 'criterion': 'entropy', 'max_depth': 3, 'max_features': 1, 'min_samples_split': 50, 'n_estimators': 500}",0.6625,0.7,0.6916666666666667,0.675,0.7,0.6858333333333333,0.01481365736219263,232
2.8002508163452147,0.0713197024657457,0.11521415710449219,0.002249161374359312,True,entropy,3,1,50,1000,"{'bootstrap': True, 'criterion': 'entropy', 'max_depth': 3, 'max_features': 1, 'min_samples_split': 50, 'n_estimators': 1000}",0.6666666666666666,0.7333333333333333,0.6916666666666667,0.6833333333333333,0.675,0.6900000000000001,0.023213980461973514,212
